12/31/2014,0,Theft,10H40,Apartment Parking Lot,3900-3999,FANNIN,ST,-,1,3900-3999 FANNIN
10/18/2013,9,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,CAROLINE,ST,-,1,3000-3099 CAROLINE
12/1/2014,18,Theft,10H40,Residence or House,1700-1799,HOLMAN,-,-,1,1700-1799 HOLMAN
1/31/2015,22,Theft,10H40,Commercial Parking Lot or Garage,3500-3599,MAIN,ST,-,1,3500-3599 MAIN
1/30/2015,8,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1,4200-4299 SAN JACINTO
1/30/2015,11,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1,4200-4299 MAIN
1/30/2015,14,Theft,10H40,"Road, Street, or Sidewalk",2800-2899,MAIN,ST,-,1,2800-2899 MAIN
1/26/2015,20,Robbery,10H40,Bus Station,2200-2299,MAIN,ST,-,1,2200-2299 MAIN
1/27/2015,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1,4200-4299 SAN JACINTO
1/27/2015,19,Aggravated Assault,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1,4200-4299 SAN JACINTO
1/27/2015,21,Theft,10H40,"Road, Street, or Sidewalk",2000-2099,MAIN,ST,-,1,2000-2099 MAIN
1/25/2015,20,Aggravated Assault,10H40,"Road, Street, or Sidewalk",UNK,FANNIN,ST,-,1,UNK FANNIN
1/28/2015,18,Theft,10H40,Restaurant or Cafeteria,3000-3099,FANNIN,ST,-,1,3000-3099 FANNIN
1/28/2015,1,Theft,10H40,Bus Stop,1400-1499,MCGOWEN,ST,-,1,1400-1499 MCGOWEN
1/29/2015,0,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4600-4699,MAIN,ST,-,1,4600-4699 MAIN
1/24/2015,13,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1,2400-2499 SAN JACINTO
1/23/2015,22,Theft,10H40,Unknown,UNK,MAIN,ST,-,1,UNK MAIN
1/25/2015,13,Theft,10H40,"Other, Unknown, or Not Listed",2200-2299,CRAWFORD,ST,-,1,2200-2299 CRAWFORD
1/25/2015,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1,4200-4299 SAN JACINTO
1/24/2015,20,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1,3400-3499 MILAM
1/24/2015,20,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1,800-899 BERRY
1/24/2015,23,Robbery,10H40,Bus Stop,UNK,FANNIN,-,-,1,UNK FANNIN
1/23/2015,8,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2000-2099,CRAWFORD,ST,-,1,2000-2099 CRAWFORD
1/23/2015,2,Theft,10H40,Bar or Night Club Parking Lot,900-999,ELGIN,ST,-,1,900-999 ELGIN
1/23/2015,11,Robbery,10H40,"Road, Street, or Sidewalk",3100-3199,SAN JACINTO,-,-,1,3100-3199 SAN JACINTO
1/23/2015,14,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1,2100-2199 MAIN
